RTX22OOH->CH3COCH3+RN13O2+OH            695  0
RTX28OOH->TXCARB24+HCHO+HO2+OH          693  0
RTN14OOH->TNCARB10+HCHO+HO2+OH          691  0
RTN24OOH->RTN23O2+OH                    689  0
RTN26OOH->RTN25O2+OH                    687  0
RTN28OOH->TNCARB26+HO2+OH               685  0
RA16OOH->CARB3+UDCARB11+HO2+OH          683  0
NRN12OOH->CH3CHO+CH3CHO+NO2+OH          681  0
NRN6OOH->HCHO+HCHO+NO2+OH               679  0
RN15OOH->C2H5CHO+CH3CHO+HO2+OH          677  0
RN9OOH->CH3CHO+HCHO+HO2+OH              675  0
NRU12OOH->NOA+CO+HO2+OH                 673  0
RU10OOH->CH3CO3+HOCH2CHO+OH             671  0
RU14OOH->UCARB10+HCHO+HO2+OH            669  0
RN17OOH->RN16O2+OH                      667  0
RN11OOH->RN10O2+OH                      665  0
HOCH2CO3H->HCHO+HO2+OH                  663  0
CH3CO3H->CH3O2+OH                       661  0
RN16OOH->RN15AO2+OH                     659  0
RN13OOH->CH3CHO+C2H5O2+OH               657  0
RN10OOH->C2H5CHO+HO2+OH                 655  0
CH3OOH->HCHO+HO2+OH                     653  0
HONO->OH+NO                             607  0
NRTX28OOH->TXCARB24+HCHO+NO2+OH         696  0
RTX24OOH->TXCARB22+HO2+OH               694  0
RTN10OOH->RN8O2+CO+OH                   692  0
RTN23OOH->CH3COCH3+RTN14O2+OH           690  0
RTN25OOH->RTN24O2+OH                    688  0
NRTN28OOH->TNCARB26+NO2+OH              686  0
RA19OOH->CARB6+UDCARB11+HO2+OH          684  0
RA13OOH->CARB3+UDCARB8+HO2+OH           682  0
NRN9OOH->CH3CHO+HCHO+NO2+OH             680  0
RN18OOH->C2H5CHO+C2H5CHO+HO2+OH         678  0
RN12OOH->CH3CHO+CH3CHO+HO2+OH           676  0
HOC2H4OOH->HCHO+HCHO+HO2+OH             674  0
NRU14OOH->NUCARB12+HO2+OH               672  0
RU12OOH->CARB6+HOCH2CHO+HO2+OH          670  0
RU14OOH->UCARB12+HO2+OH                 668  0
RN14OOH->RN13O2+OH                      666  0
RN8OOH->C2H5O2+OH                       664  0
C2H5CO3H->C2H5O2+OH                     662  0
RN19OOH->RN18AO2+OH                     660  0
RN13OOH->CARB11A+HO2+OH                 658  0
